148079,5,0,glatt
148132,5,55,glatt
148186,5,0,glatt
148239,4,0,glatt
148292,4,0,glatt
148345,4,0,glatt
148399,4,0,glatt
148452,5,0,glatt
148509,18,180,schlagloch
148563,20,0,welle
148618,22,180,welle
148672,24,0,welle
148725,25,180,glatt
148779,12,0,schlagloch
148833,11,180,glatt
148886,10,0,glatt
148940,8,162,welle
148994,9,0,glatt
149048,9,171,glatt
149101,9,0,glatt
149155,9,179,glatt
149209,10,0,glatt
149263,10,180,glatt
149317,11,0,glatt
149370,11,180,glatt
149424,11,0,glatt
149478,10,180,glatt
149531,9,0,glatt
149584,8,164,glatt
149639,8,0,glatt
149692,7,136,glatt
149745,7,0,glatt
149799,7,113,glatt
149853,6,0,glatt
149906,6,75,glatt
149959,6,0,glatt
150013,6,37,glatt
150067,6,0,glatt
150120,6,0,glatt
150173,6,0,glatt
150226,6,0,glatt
150281,6,0,glatt
150334,7,0,glatt
150387,8,0,glatt
150441,9,11,glatt
150495,9,0,glatt
150549,10,34,glatt
150603,12,0,welle
150658,13,96,glatt
150711,14,0,glatt
150767,20,180,schlagloch
150822,26,0,schlagloch
150879,30,180,welle
150945,30,0,glatt
151013,30,180,glatt
151069,30,0,glatt
151136,30,180,glatt
151193,30,0,glatt
151261,30,180,glatt
151327,30,0,glatt
151395,30,180,glatt
151450,30,0,glatt
151506,30,180,glatt
151573,30,0,glatt
151628,30,180,glatt
151684,30,0,glatt
151740,30,180,glatt
151795,30,0,glatt
151851,30,180,glatt
151906,30,0,glatt
151962,30,180,glatt
152017,30,0,glatt
152073,30,180,glatt
152128,30,0,glatt
152183,30,180,glatt
152240,30,0,glatt
152295,30,180,glatt
152350,30,0,glatt
152406,30,180,glatt
152462,30,0,glatt
152517,30,180,glatt
152572,30,0,glatt
152628,30,180,glatt
152683,30,0,glatt
